file,CONV-AE,DENSE-AE,LSTM,VAE,REENC,LSTM-AE,ELM,USAD
1,0.9941867224741309,0.9999414405621707,0.9946325829246631,0.9962419056429233,0.9992098365710762,0.9993929232192414,0.9893617021276596,0.9999900203584686
2,0.9445613659326997,0.9552966567882507,0.9404587773676022,0.9568254748479003,0.9027929774447248,0.955749647573824,0.8363757955908127,0.9575259066740923
3,0.8746636900518986,0.7866242523873282,0.8988544480508676,0.8731610650265532,0.8117202462586924,0.8287275627276957,0.7763506570764155,0.8205479664459708
4,0.9253449855896299,0.9372871622975121,0.8857600762924013,0.9266862428683544,0.9259499307778454,0.9279472324365317,0.8869594197560099,0.9396971960078757
5,0.6689869375907112,0.7550324201179974,0.49071651811552264,0.7844491317287411,0.6757606402958767,0.6606547429859286,0.7122713305189399,0.8244330694601512
6,0.9843285658634314,0.9787653656951402,0.9729663771395609,0.9771146647766284,0.962518549691023,0.9707690092803828,0.9517337352313481,0.9715826556405769
7,0.9861482515175054,0.6197009808326364,0.9098013944209451,0.962770254542467,0.9513267974751141,0.9047485383319869,0.6998951396549141,0.826190392522051
8,0.962185953864936,0.9019956083699303,0.8886043903220637,0.9784794123765782,0.9895501608283058,0.9602201987549809,0.9949367088607595,0.9959729782908113
9,0.9992355296687296,0.9949722157521712,0.9939535958282452,0.9991727092946605,0.9924620962425841,0.9991891891891892,0.9580218987673748,0.9961537160447888
10,0.9993587017423061,0.9987002233036726,0.9999124808972728,0.9999697458652682,0.9998487293263412,0.9999630227242168,1.0,0.9981921184645428
11,0.9981963967143054,0.9972285409036612,0.9980448816957914,0.9990237654537929,0.9988363284209211,0.9993283506322095,1.0,0.9953666034718409
12,0.760795393246305,0.699053546488766,0.653415777333952,0.7316909377235014,0.7397663665942508,0.6705426486735143,0.7434082871064592,0.7648745519713261
13,0.9949955044361884,0.9924504743612924,0.9964234596683326,0.9965499530307023,0.996401273239665,0.992373402537018,0.9733113308373271,0.9915024677527322
14,0.9422987247328831,0.8338316334504338,0.8334939677832445,0.8510538767790375,0.8883358405605419,0.8241508240195732,0.8126094160571725,0.8416804249763402
15,0.9275527126273395,0.7160571969155589,0.7879631692284845,0.8673772061103695,0.8367646860548208,0.7654276045248015,0.8584838610183584,0.8106165971256375
16,0.9795693940183463,0.8906791683819102,0.9459132952463227,0.9701590618049472,0.9742771449753994,0.8768989687942306,0.9996111870860482,0.9827131201123406
17,0.8775890680379423,0.8780718920589143,0.8547012912716574,0.9008579794125748,0.8687152072855135,0.8486412775493686,0.9959953865771041,0.8589091112181568
18,0.9984545264935873,0.8260397220761094,0.8926636318687876,0.8858525389560858,0.9271139806036831,0.8807412553121936,0.9243040032513717,0.8932897096297228
19,0.9449647310636755,0.9722213627346832,0.9302780761427377,0.961711343576332,0.9552652010460935,0.9166292088917947,0.9999796789270474,0.9719347182461034
20,0.9448039497651232,0.8741255611556364,0.9153298778280851,0.9575094198080234,0.9511227047209863,0.8793412101682778,0.9997049457201868,0.9283474048249114
21,0.9893946711744345,0.9860927509644698,0.9630686379448756,0.9806255929236648,0.9795232559693215,0.970023115671891,0.98827829091634,0.9903287073859741
22,0.8823909597170848,0.6179177804481284,0.7947900958311037,0.8761441334947232,0.8570688322045493,0.6198258447662345,0.37810274229070456,0.7443790572608866
23,0.9532057145931985,0.877154006384245,0.8532258713676245,0.9345549913584051,0.9334329238065889,0.8444077492999638,0.9927175086283864,0.9388751375137514
24,0.9816354897073326,0.6807929233387725,0.7343181290172693,0.807489298516293,0.7931781183176146,0.751822249032323,0.7885579123478396,0.7521807459381376
25,0.9512772643932285,0.943163083369989,0.9277499292221094,0.9468097845249104,0.940306947225567,0.9441986708267084,0.995778329197684,0.9543383359330468
26,0.9526132520284567,0.6397172387222139,0.745137331140023,0.8432364263905483,0.8819925660427452,0.5833466082570025,0.7918366673268633,0.7808497232865048
27,0.9510414967096318,0.9171617703375459,0.9243786490248178,0.9635513681322647,0.957977763338387,0.899595697061584,0.9737977318403674,0.9586187691450849
28,0.9906963315217391,0.786533469945355,0.9441734417344173,0.9880074424898512,0.9762178619756428,0.8995433017591339,0.9706897711978465,0.9402847222222223
29,0.9701492537313432,0.952987108056448,0.9495361032674465,0.9648854244298077,0.9696691978702976,0.9533439415607522,0.9908477745500686,0.9566847204421107
30,0.9186272651318884,0.8149184922657667,0.7177279887974793,0.8359902672316146,0.8284284935184798,0.7873439051334759,0.8303768861692511,0.8289225224190295
31,0.931355177892574,0.7737375258266622,0.8871509631178138,0.9164253909081495,0.9145241793517656,0.8585606295951123,0.9990237150730978,0.8917217500786907
32,0.9446838930153083,0.6889933027104737,0.8173772430101542,0.8472087652584605,0.881231442412877,0.8305568578423712,0.7550313433609062,0.7967908718131573
33,0.9676188847074924,0.9776371308016878,0.8975365469036354,0.9739985107967238,0.970564833528348,0.9208977768322519,0.9970583884533294,0.9623593530239098
