alpha,beta,th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.7,0.30000000000000004,2,STD,1.0229544416324676,0.5356524358105565,0.5839763585618125,0.49471488178025036,3557,48194,2534,3633
0.6,0.4,0.5,IQR,0.388914000679973,0.578692233114295,0.4722222222222222,0.7471488178025035,5372,44724,6004,1818
0.6,0.4,0.5,MAD,0.2795595216852247,0.5104198390254513,0.3713833491611269,0.815855354659249,5866,40799,9929,1324
0.6,0.4,0.5,STD,0.4140949134766957,0.5853846577454705,0.4845473607439147,0.739221140472879,5315,45074,5654,1875
0.6,0.4,1,IQR,0.46887617211206767,0.5825839763299877,0.4997511695033343,0.6983310152990264,5021,45702,5026,2169
0.6,0.4,1,MAD,0.338357151338546,0.5572289156626506,0.43597800471327575,0.7719054242002782,5550,43548,7180,1640
0.6,0.4,1,STD,0.5465385105882272,0.5746544916090818,0.5164116212020403,0.6477051460361614,4657,46367,4361,2533
0.6,0.4,1.5,IQR,0.5499202460331554,0.5733531083920405,0.515903024911032,0.645201668984701,4639,46375,4353,2551
0.6,0.4,1.5,MAD,0.3971090243589374,0.5815810920945396,0.47721801159161836,0.7443671766342141,5352,44865,5863,1838
0.6,0.4,1.5,STD,0.7124739143285765,0.5707556971670015,0.5685111080447082,0.5730180806675939,4120,47601,3127,3070
0.6,0.4,2,IQR,0.6300947126511249,0.5709609845509295,0.5393272322532773,0.6065368567454799,4361,47003,3725,2829
0.6,0.4,2,MAD,0.45594920797543687,0.5853546910755149,0.4971817298347911,0.7115438108484006,5116,45554,5174,2074
0.6,0.4,2,STD,0.8610350738715606,0.5397252090800478,0.5827152531441471,0.5026425591098749,3614,48140,2588,3576
0.5,0.5,0.5,IQR,0.32398986021586673,0.5780097949518326,0.47142480905978407,0.7468706536856745,5370,44707,6021,1820
0.5,0.5,0.5,MAD,0.23301154654372355,0.5098568257974672,0.3710177972005827,0.8147426981919332,5858,40797,9931,1332
0.5,0.5,0.5,STD,0.3345305924078118,0.5823792389052448,0.4789275466284075,0.7428372739916551,5341,44917,5811,1849
0.5,0.5,1,IQR,0.39107527954346283,0.581510069061575,0.49895428742157155,0.6968011126564673,5010,45697,5031,2180
0.5,0.5,1,MAD,0.28207099023855353,0.5572453947698639,0.4359538207806487,0.7720445062586926,5551,43546,7182,1639
0.5,0.5,1,STD,0.43019444436247267,0.5777189605389798,0.5090099639601442,0.6678720445062587,4802,46096,4632,2388
0.5,0.5,1.5,IQR,0.4578360843300532,0.5740969816922316,0.5169302740031188,0.6454798331015299,4641,46391,4337,2549
0.5,0.5,1.5,MAD,0.33101205750114115,0.5812309699869508,0.4771469380467774,0.7433936022253129,5345,44871,5857,1845
0.5,0.5,1.5,STD,0.6086428798269476,0.5695123655162778,0.5721504772599663,0.5668984700973574,4076,47680,3048,3114
0.5,0.5,2,IQR,0.5248122639682868,0.570774163994503,0.5389939438882709,0.6065368567454799,4361,46998,3730,2829
0.5,0.5,2,MAD,0.3793187827928658,0.5853295980790122,0.49694204446170276,0.711961057023644,5119,45546,5182,2071
0.5,0.5,2,STD,0.671025856828332,0.5536,0.5801829268292683,0.529346314325452,3806,47974,2754,3384
0.4,0.6,0.5,IQR,0.259220935883698,0.5781822097781606,0.47170971709717097,0.7467315716272601,5369,44715,6013,1821
0.4,0.6,0.5,MAD,0.18645954534787315,0.5103772353478658,0.3713670613562971,0.8157162726008345,5865,40800,9928,1325
0.4,0.6,0.5,STD,0.2720755682375161,0.5840223402507803,0.48162196333423646,0.7417246175243394,5333,44988,5740,1857
0.4,0.6,1,IQR,0.313198243791737,0.5818245125348189,0.4992033459470225,0.6972183588317107,5013,45699,5029,2177
0.4,0.6,1,MAD,0.22551629433651094,0.5567589249899719,0.43531441116512465,0.7721835883171071,5552,43526,7202,1638
